query,source,id,year,first_author,title,stage,decision,reason
Q1,crossref,10.1016/j.cja.2021.12.001,2022,XIE,Energy-efficiency maximization for fixed-wing UAV-enabled relay network with circular trajectory,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q1,crossref,10.1016/j.phycom.2020.101100,2020,Na,Joint trajectory and power optimization for UAV-relay-assisted Internet of Things in emergency,abstract,excluded,no per-demand timing
Q1,crossref,10.1109/twc.2021.3075594,2021,Zeng,Trajectory Optimization and Resource Allocation for OFDMA UAV Relay Networks,abstract,excluded,no time or backhaul constraint
Q2,crossref,10.1109/twc.2022.3216797,2023,Bashir,Energy Optimization of a Laser-Powered Hovering-UAV Relay in Optical Wireless Backhaul,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q2,crossref,10.3390/s24061973,2024,Chen,An Adjustable Wireless Backhaul Link Selection Algorithm for LEO-UAV-Sensor-Based Internet of Remote Things Network,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q2,crossref,10.1109/lnet.2021.3080403,2021,Yanmaz,Dynamic Relay Selection and Positioning for Cooperative UAV Networks,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q2,crossref,10.1016/j.phycom.2018.11.005,2019,Deng,Outdated relay selection for UAV-enabled networks with cooperative NOMA,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q2,crossref,10.1109/tgcn.2023.3347567,2024,Li,"UAV Altitude, Relay Selection, and User Association Optimization for Cooperative Relay-Transmission in UAV-IRS-Based THz Networks",title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q2,crossref,10.1109/taes.2025.3526742,2025,Liu,3-D Position Optimization of Solar-Powered Hovering UAV Relay in Optical Wireless Backhaul,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q2,crossref,10.3390/su142316089,2022,Chen,A Method of Relay Node Selection for UAV Cluster Networks Based on Distance and Energy Constraints,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q2,crossref,10.3390/drones10030160,2026,Yang,Joint Altitude and Power Optimization for Multi-UAV-Aided Covert Communication with Relay Selection,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q2,crossref,10.3390/app10238762,2020,He,A Relay Selection Protocol for UAV-Assisted VANETs,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q2,crossref,10.1016/j.phycom.2019.01.007,2019,Zou,Impact of outdated antenna selection on cache-aided UAV relay networks,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q2,crossref,10.1155/2021/3929514,2021,Wang,Performance Analysis of Group Selection in UAV Networks with Backhaul‐Aware Biasing,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q2,crossref,10.1007/s11276-021-02644-9,2021,Fan,Optimal relay selection for UAV-assisted V2V communications,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q2,crossref,10.52783/jisem.v10i2s.198,2025,J.Vijaya Barathy,Relay Selection Technique for Energy-Efficient Data Transmission Policy for UAV-Assisted LoRaWAN,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q2,crossref,10.3390/drones7090579,2023,Liang,Hierarchical Matching Algorithm for Relay Selection in MEC-Aided Ultra-Dense UAV Networks,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q2,crossref,10.1016/j.dsp.2026.106256,2026,Mohamed,Digital twin-enabled neural bandit learning for two-hop UAV relay selection over delay–doppler channels,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q2,arxiv,2203.04377v1,2022,Dabiri,Long mmWave Backhaul Connectivity Using Fixed-Wing UAVs,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q2,arxiv,2401.09060v1,2024,Gures,Joint Route Selection and Power Allocation in Multi-hop Cache-enabled Networks,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q2,arxiv,2102.03040v1,2021,Popescu,Connecting flying backhauls of UAVs to enhance vehicular networks with fixed 5G NR infrastructure,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q3,crossref,10.3788/col202220.081101,2022,Liang,FAANet: feature-aligned attention network for real-time multiple object tracking in UAV videos,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q3,crossref,10.3390/drones8110671,2024,Huang,Mamba-UAV-SegNet: A Multi-Scale Adaptive Feature Fusion Network for Real-Time Semantic Segmentation of UAV Aerial Imagery,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q3,crossref,10.1016/j.dam.2024.06.033,2024,Figueroa González,A project and lift approach for a 2-commodity flow relocation model in a time expanded network,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q3,crossref,10.1109/mnet.008.2100472,2022,Bansal,Scalable Topologies for Time-Optimal Authentication of UAV Swarms,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q3,crossref,10.33969/j-nana.2021.010101,2021,,Generalized Traffic Flow Model for Multi-Services Oriented UAV System,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q3,crossref,10.1016/j.ejor.2022.08.044,2023,Xing,Joint tank container demurrage policy and flow optimisation using a progressive hedging algorithm with expanded time-space network,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q3,crossref,10.1007/s11554-026-01952-7,2026,Cui,EHR-Net: a real-time Edge-Enhanced Hierarchical Residual Network for UAV infrared small target detection,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q3,crossref,10.1049/ell2.70206,2025,Zhao,UAV‐Based Real‐Time Object Detection Network Using Structured Pruning Strategy,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q3,crossref,10.3390/drones9120812,2025,Mohamed,Real-Time Long-Range Control of an Autonomous UAV Using 4G LTE Network,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q3,crossref,10.1007/s11554-026-01977-y,2026,Dai,LSO-YOLO: a lightweight real-time object detection network for UAV small-object detection,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q3,crossref,10.1016/j.jnca.2025.104372,2026,Kumar,LiteWTAKA: Authenticating UAV-GCS and UAV–UAV communication using secure and lightweight mechanism based on PUF,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q3,crossref,10.1038/s41598-026-36440-2,2026,Yang,A collaborative multi-attention network for real-time small object detection in UAV imagery,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q3,crossref,10.13164/re.2025.0342,2025,Zafor,An Effective Routing Algorithm to Minimize the UAV Routing Time and Extend the Network Lifetime in Clustered IoT Network,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q3,crossref,10.21660/2024.124.4607,2024,Kanplumjit,ACCURACY ASSESSMENT OF THAILAND’S NETWORK REAL TIME KINEMATIC (NRTK) FOR UNMANNED AERIAL VEHICLE (UAV) PHOTOGRAMMETRY,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q3,crossref,10.1007/s11554-025-01803-x,2025,Dang,EMDANet: real-time road crack detection in UAV remote sensing images via multi-scale dual-attention network,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q4,crossref,10.21123/bsj.2018.15.4.0485,2018,,Optimal UAV Deployment for Data Collection in Deadline-based IoT Applications,title,excluded,duplicate record of albusalih2018deadline
Q4,crossref,10.21123/bsj.15.4.484-491,2018,Journal,Optimal UAV Deployment for Data Collection in Deadline-based IoT Applications,title,excluded,duplicate record of albusalih2018deadline
Q4,crossref,10.21123/bsj.2018.15.4.0484,2018,Albu-Salih,Optimal UAV Deployment for Data Collection in Deadline-based IoT Applications,abstract,included,
Q4,crossref,10.1587/transfun.e102.a.598,2019,LU,Stochastic Channel Selection for UAV-Aided Data Collection,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q4,crossref,10.1016/j.phycom.2025.102880,2025,Mondal,Deep reinforcement learning based multi-UAV assisted data collection for deadline-sensitive IoT networks,abstract,excluded,abstract not retrievable
Q4,crossref,10.23919/jcc.fa.2021-0823.202402,2024,Li,Flight time minimization of UAV for cooperative data collection in probabilistic LoS channel,abstract,excluded,flight-time minimization; no per-demand timing
Q4,crossref,10.14419/ijet.v7i3.14522,2018,Felix Arokya Jose,DBac: deadline based data collection using CSMA/CD and earliest deadline first (EDF) scheduling in wireless sensor network,title,excluded,not UAV
Q4,crossref,10.3390/info17020190,2026,Ma,DC-CSAP: An Edge-UAV-End Collaborative Data Collection Framework for UAV-Assisted IoT,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q4,crossref,10.3390/s22155839,2022,Li,Completion Time Minimization for UAV-UGV-Enabled Data Collection,title,excluded,mission completion time only
Q4,crossref,10.1109/tvt.2023.3320676,2024,Liu,UAV Trajectory Planning With Interference Awareness in UAV-Enabled Time-Constrained Data Collection Systems,abstract,included,
Q4,crossref,10.3997/1365-2397.fb2023092,2023,Dobrovolskiy,Water Bodies Data Collection Using UAV: UXO Search and Bathymetry,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q4,crossref,10.1109/jiot.2022.3189214,2022,Liu,UAV Trajectory Optimization for Time-Constrained Data Collection in UAV-Enabled Environmental Monitoring Systems,abstract,included,
Q4,crossref,10.1002/dac.70553,2026,Al‐Qurabat,IF‐UAV: An Intelligent Federated Framework for Energy‐Efficient Data Collection in UAV‐Assisted IoT Systems,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q4,crossref,10.1002/dac.5486,2023,Wala,DDC‐OMDC: Deadline‐based data collection using optimal mobile data collectors in Internet of Things,title,excluded,not UAV
Q4,crossref,10.1016/j.icte.2022.10.003,2023,Memos,Optimized UAV-based data collection from MWSNs,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q5,crossref,10.1007/s11277-024-11386-8,2024,Shi,"Joint User Scheduling, Trajectory, Beamforming and Power Allocation for Millimeter-Wave Full-Duplex UAV Relay",title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q5,crossref,10.1109/access.2024.3481438,2024,Wang,Joint Terminal-UAV Association and Power Allocation for Hybrid Satellite-UAV Relay Network With Rate Splitting Multiple Access,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q5,crossref,10.3390/drones9030160,2025,Li,Deep Reinforcement Learning-Enabled Trajectory and Bandwidth Allocation Optimization for UAV-Assisted Integrated Sensing and Covert Communication,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q5,crossref,10.1109/twc.2020.3000864,2020,Hu,Low-Complexity Joint Resource Allocation and Trajectory Design for UAV-Aided Relay Networks With the Segmented Ray-Tracing Channel Model,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q5,crossref,10.1016/j.phycom.2021.101328,2021,Deng,Joint UAV trajectory and power allocation optimization for NOMA in cognitive radio network,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q5,crossref,10.1016/j.phycom.2026.103355,2026,Gao,Joint optimization of 3D trajectory design and resource allocation for ARIS-assisted UAV,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q5,crossref,10.1109/tvt.2020.2985061,2020,Chen,Optimal Power and Bandwidth Allocation for Multiuser Video Streaming in UAV Relay Networks,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q5,crossref,10.31449/inf.v49i21.9892,2025,Liu,"Joint UAV Trajectory, IRS Beamforming, and Power Allocation Optimization for Secure Communication in IRS-Assisted Cognitive Networks",title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q5,crossref,10.23919/jcc.fa.2023-0107.202402,2024,Xie,Joint optimization of resource allocation and trajectory based on user trajectory for UAV-assisted backscatter communication system,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q5,arxiv,2503.14248v1,2025,Queiros,Joint Channel Bandwidth Assignment and Relay Positioning for Predictive Flying Networks,abstract,included,preprint of queiros2024predictive
Q5,arxiv,2601.01430v2,2026,Joshi,Context-Aware Information Transfer via Digital Semantic Communication in UAV-Based Networks,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q6,crossref,10.3390/drones8120777,2024,Fei,Heuristic Optimization-Based Trajectory Planning for UAV Swarms in Urban Target Strike Operations,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q6,crossref,10.1007/s10586-026-06112-x,2026,Mohamed,A delay-Doppler approach for joint mmWave beamforming and proactive UAV trajectory planning in UAV-vehicular communications,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q6,crossref,10.1016/j.comnet.2021.108623,2022,Banerjee,EDTP: Energy and Delay Optimized Trajectory Planning for UAV-IoT Environment,abstract,excluded,abstract not retrievable
Q6,crossref,10.1109/tvt.2022.3195788,2022,Tang,Delay-Tolerant UAV-Assisted Communication: Online Trajectory Design and User Association,abstract,included,
Q6,crossref,10.1109/mnet.2016.7389838,2016,Fadlullah,A dynamic trajectory control algorithm for improving the communication throughput and delay in UAV-aided networks,abstract,included,
Q6,crossref,10.31130/ud-jst.2025.23(10b).638e,2025,Binh,Energy minimization in wireless sensor networks: an efficient heuristic framework for data collection through UAV trajectory planning and power allocation,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q6,crossref,10.1002/ett.70427,2026,Sharifi,<scp>UDADT</scp> : An Energy‐ and Delay‐Aware Trajectory Planning for <scp>UAV</scp> ‐Assisted Wireless Sensor Networks,abstract,excluded,delay is the tour duration
Q6,crossref,10.1109/tvt.2022.3144178,2022,He,Trajectory Optimization and Channel Allocation for Delay Sensitive Secure Transmission in UAV-Relayed VANETs,abstract,included,
Q6,crossref,10.1002/asjc.3557,2025,Li,Predefined time trajectory tracking control and hardware in loop verification for quadrotor UAV under input delay and disturbances,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q6,crossref,10.1109/tgcn.2022.3196670,2023,Cao,Energy-Delay Tradeoff for Dynamic Trajectory Planning in Priority-Oriented UAV-Aided IoT Networks,abstract,included,
Q6,crossref,10.1109/tnse.2025.3638854,2026,Bao,Joint Trajectory and Resource Optimization for Delay Minimization of UAV-Enabled NOMA-MEC System With LWPT,title,excluded,"computation offloading (MEC), not data delivery"
Q6,crossref,10.1007/s10846-021-01467-2,2021,Nizar,Effective and Safe Trajectory Planning for an Autonomous UAV Using a Decomposition-Coordination Method,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q6,crossref,10.3390/drones10060434,2026,Cheng,Uncertainty-Calibrated UAV Trajectory Prediction for Beam Management in UAV-Assisted ISAC Scenarios,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q6,crossref,10.3390/drones9060446,2025,Chen,UAV Spiral Maneuvering Trajectory Intelligent Generation Method Based on Virtual Trajectory,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q6,crossref,10.1109/mvt.2022.3158047,2022,Zhang,Joint Optimization of IRS and UAV-Trajectory: For Supporting Statistical Delay and Error-Rate Bounded QoS Over mURLLC-Driven 6G Mobile Wireless Networks Using FBC,abstract,excluded,IRS-assisted access; no UAV relaying or data collection
web,web search,10.1109/TWC.2021.3105821,,tran2022relay,,abstract,included,
web,web search,10.1109/TWC.2019.2940447,,samir2020time,,abstract,included,
web,web search,10.1109/ICCW.2017.7962642,,kalantari2017backhaul,,abstract,included,
web,web search,10.1109/GLOCOMW.2018.8644135,,selim2018postdisaster,,abstract,included,
web,web search,10.1109/TNSE.2022.3233004,,yu2023backhaul,,abstract,included,
web,web search,2608.04590,,wang2026juror,,abstract,included,
web,web search,10.1109/INFOCOMWKSHPS57453.2023.10226065,,du2023timeconstrained,,abstract,included,
web,web search,10.1109/TCOMM.2018.2865922,,wu2018delay,,abstract,excluded,UAV base station downlink
web,web search,2602.17019,,park2026expected,,abstract,excluded,relaying or data collection not stated
web,web search,10.1109/TWC.2017.2789293,,wu2018multi,,abstract,excluded,no time constraint
web,web search,10.1109/TCOMM.2016.2611512,,zeng2016mobile,,abstract,excluded,no per-demand timing
web,web search,10.1109/TWC.2024.3479709,,zhou2024delayaware,,abstract,excluded,computation offloading
web,web search,10.1109/MWC.2018.1800160,,zhao2019emergency,,abstract,excluded,no formulated time or backhaul constraint
web,web search,10.1016/j.comnet.2023.109779,,hu2023uplink,,abstract,excluded,abstract not retrievable
web,web search,10.1016/j.comnet.2022.108856,,priorityqueue2022,,abstract,excluded,abstract not retrievable
web,web search,10.1016/j.compeleceng.2022.107934,,bufferaware2022,,abstract,excluded,abstract not retrievable
web,web search,10.1287/trsc.1050.0135,,ropke2006alns,,abstract,excluded,not UAV communication
web,web search,10.1145/1015467.1015484,,jain2004dtn,,abstract,excluded,not UAV communication
