target_id,pair_id,region_label,pixel_u,pixel_v,area_m2,damage_class,lat,lon,utm_e,utm_n,x_m,y_m,merged_from
11337-r01,11337,1,3144,313,231.393,3,29.95205839,-85.42380425,652103.142,3314517.786,379.264,1401.703,11337-r01
11337-r02,11337,2,103,334,35.285,4,29.95250915,-85.42344728,652136.907,3314568.215,402.674,1436.667,11337-r02
11451-r01,11451,1,3036,511,265.5,3,29.9526667,-85.42158643,652316.262,3314588.146,527.024,1450.486,11451-r01;11452-r02
11451-r02,11451,2,126,603,86.982,4,29.95295437,-85.42209556,652266.686,3314619.353,492.652,1472.122,11451-r02;11452-r03
11451-r03,11451,3,2955,2277,317.222,3,29.95241181,-85.42181033,652295.041,3314559.6,512.311,1430.694,11451-r03
11452-r01,11452,1,94,307,40.485,3,29.95314146,-85.42195622,652279.849,3314640.272,501.779,1486.626,11452-r01
11725-r01,11725,1,502,1019,129.238,3,29.95268409,-85.42086373,652385.985,3314591.033,575.365,1452.487,11725-r01
11725-r02,11725,2,1665,1371,91.985,3,29.95251064,-85.42070658,652401.416,3314572.018,586.064,1439.304,11725-r02
11725-r03,11725,3,1019,2477,295.672,4,29.95241287,-85.42094931,652378.139,3314560.86,569.925,1431.568,11725-r03
11999-r01,11999,1,3894,226,34.395,5,29.94596207,-85.41568239,652896.332,3313852.935,929.2,940.747,11999-r01
11999-r02,11999,2,572,1078,152.888,5,29.94535377,-85.41556057,652909.021,3313785.68,937.998,894.118,11999-r02
11999-r03,11999,3,2846,1341,100.193,5,29.94575824,-85.41546955,652917.188,3313830.628,943.66,925.281,11999-r03;13049-r01
11999-r04,11999,4,3687,2028,280.706,4,29.94589951,-85.41531433,652931.952,3313846.492,953.897,936.28,11999-r04
11999-r05,11999,5,2652,2725,169.428,5,29.9457039,-85.41518743,652944.5,3313824.982,962.597,921.367,11999-r05
12087-r01,12087,1,3835,2735,76.698,3,29.95095927,-85.41982342,652489.02,3314401.257,646.801,1320.911,12087-r01
12224-r01,12224,1,1515,420,133.682,5,29.94836833,-85.42040251,652437.082,3314113.337,610.792,1121.29,12224-r01
12224-r02,12224,2,3487,320,57.243,5,29.94854557,-85.4207524,652403.042,3314132.515,587.191,1134.586,12224-r02
12224-r03,12224,3,1302,1469,138.091,5,29.94850447,-85.42024853,652451.736,3314128.63,620.952,1131.893,12224-r03
12224-r04,12224,4,3457,1475,76.692,5,29.9487154,-85.42061798,652415.756,3314151.516,596.006,1147.76,12224-r04
12224-r05,12224,5,1072,2618,175.0,5,29.94865391,-85.42008044,652467.732,3314145.415,632.042,1143.531,12224-r05
13049-r02,13049,2,1390,605,335.877,4,29.94597224,-85.41540619,652922.975,3313854.43,947.673,941.784,13049-r02
13049-r03,13049,3,2226,97,35.725,3,29.94612906,-85.41549753,652913.92,3313871.689,941.394,953.75,13049-r03
13082-r01,13082,1,1629,368,187.372,3,29.94600128,-85.40908308,653533.229,3313866.093,1370.775,949.87,13082-r01
13082-r02,13082,2,2712,307,210.193,3,29.94580606,-85.40908962,653532.898,3313844.448,1370.546,934.863,13082-r02
13082-r03,13082,3,3319,2786,120.227,4,29.94573524,-85.40961097,653482.686,3313835.903,1335.733,928.938,13082-r03
13108-r01,13108,1,967,238,108.37,3,29.94576474,-85.40522694,653905.783,3313845.045,1629.076,935.277,13108-r01
13429-r01,13429,1,3684,582,95.497,4,29.94356697,-85.40842728,653600.267,3313597.18,1417.255,763.426,13429-r01
13429-r02,13429,2,1063,2840,71.608,4,29.94306465,-85.40800436,653641.86,3313542.075,1446.092,725.221,13429-r02
13743-r01,13743,1,922,274,66.372,5,29.94445874,-85.4076347,653675.397,3313697.075,1469.344,832.686,13743-r01
13743-r02,13743,2,1421,512,107.609,3,29.94454487,-85.40757739,653680.796,3313706.696,1473.087,839.357,13743-r02
13743-r03,13743,3,2227,936,94.342,4,29.9446834,-85.40747666,653690.305,3313722.185,1479.68,850.096,13743-r03
13743-r04,13743,4,603,2203,198.632,3,29.94437367,-85.40724246,653713.386,3313688.171,1495.683,826.513,13743-r04
14761-r01,14761,1,894,642,268.932,4,29.94085475,-85.40343294,654086.508,3313303.284,1754.377,559.661,14761-r01
14852-r01,14852,1,211,302,101.846,3,29.94045814,-85.40521845,653914.775,3313256.932,1635.31,527.525,14852-r01;14881-r03
14852-r02,14852,2,2660,1981,121.758,5,29.93994408,-85.40503269,653933.497,3313200.208,1648.291,488.197,14852-r02;14881-r02
14877-r01,14877,1,177,426,103.159,5,29.94027439,-85.40475075,653960.203,3313237.194,1666.806,513.84,14877-r01
14877-r02,14877,2,205,2123,197.647,3,29.9405208,-85.40453946,653980.217,3313264.787,1680.683,532.971,14877-r02
14881-r01,14881,1,2793,845,152.893,3,29.94017069,-85.40552829,653885.31,3313224.658,1614.881,505.149,14881-r01
15142-r01,15142,1,146,182,37.945,3,29.94135737,-85.40380247,654050.065,3313358.492,1729.11,597.939,15142-r01
15275-r01,15275,1,306,336,252.037,4,29.94353681,-85.4008596,654330.755,3313603.991,1923.719,768.149,15275-r01
15275-r02,15275,2,542,1547,244.29,4,29.94380257,-85.40093415,654323.149,3313633.345,1918.445,788.5,15275-r02
15820-r01,15820,1,2556,748,211.181,3,29.94078225,-85.39976382,654440.778,3313300.18,2000.0,557.51,15820-r01
15820-r02,15820,2,352,1006,114.75,4,29.94050986,-85.40008906,654409.805,3313269.555,1978.526,536.276,15820-r02
