class_counts,image,mask,pair_id,presence_vector,rank,selection_seed
"{""0"": 1524461, ""1"": 73550, ""2"": 159495, ""3"": 272104, ""6"": 20640, ""7"": 1360010, ""9"": 8589740}",val-org-img/13108.jpg,val-label-img/13108_lab.png,13108,"[1, 2, 3, 6, 7, 9]",19,20260910
"{""0"": 8469248, ""1"": 1296055, ""2"": 916800, ""3"": 195890, ""7"": 1122007}",val-org-img/12087.jpg,val-label-img/12087_lab.png,12087,"[1, 2, 3, 7]",20,20260910
"{""0"": 4079616, ""1"": 3196551, ""2"": 136012, ""3"": 1559471, ""7"": 1254528, ""9"": 1773822}",val-org-img/11160.jpg,val-label-img/11160_lab.png,11160,"[1, 2, 3, 7, 9]",21,20260910
"{""0"": 490558, ""1"": 185901, ""2"": 49565, ""3"": 89531, ""9"": 11514685}",val-org-img/15142.jpg,val-label-img/15142_lab.png,15142,"[1, 2, 3, 9]",22,20260910
"{""0"": 8440767, ""1"": 156452, ""2"": 230562, ""4"": 704816, ""5"": 1147225, ""7"": 1320178}",val-org-img/11999.jpg,val-label-img/11999_lab.png,11999,"[1, 2, 4, 5, 7]",23,20260910
"{""0"": 4121517, ""1"": 591270, ""2"": 580648, ""4"": 666715, ""6"": 108861, ""7"": 755535, ""9"": 5175454}",val-org-img/14761.jpg,val-label-img/14761_lab.png,14761,"[1, 2, 4, 6, 7, 9]",24,20260910
"{""0"": 5730920, ""1"": 674803, ""2"": 208972, ""4"": 786306, ""7"": 182173, ""8"": 1113932, ""9"": 3302894}",val-org-img/11113.jpg,val-label-img/11113_lab.png,11113,"[1, 2, 4, 7, 8, 9]",25,20260910
"{""0"": 2372672, ""1"": 1252610, ""2"": 212359, ""4"": 419578, ""7"": 1988945, ""9"": 5753836}",val-org-img/13429.jpg,val-label-img/13429_lab.png,13429,"[1, 2, 4, 7, 9]",26,20260910
"{""0"": 2555688, ""1"": 284914, ""2"": 52225, ""4"": 821683, ""9"": 8285490}",val-org-img/15275.jpg,val-label-img/15275_lab.png,15275,"[1, 2, 4, 9]",27,20260910
"{""0"": 7424627, ""1"": 1519502, ""2"": 362268, ""5"": 1857563, ""7"": 836040}",val-org-img/11046.jpg,val-label-img/11046_lab.png,11046,"[1, 2, 5, 7]",28,20260910
"{""0"": 6266477, ""1"": 1153285, ""2"": 876137, ""5"": 471118, ""7"": 1933395, ""9"": 1299588}",val-org-img/11125.jpg,val-label-img/11125_lab.png,11125,"[1, 2, 5, 7, 9]",29,20260910
"{""0"": 8526874, ""1"": 393768, ""2"": 428808, ""5"": 1483158, ""8"": 1110839, ""10"": 56553}",val-org-img/12224.jpg,val-label-img/12224_lab.png,12224,"[1, 2, 5, 8, 10]",30,20260910
