connected,coordinate_count,edge_count,eligible,exclusion_reason,has_parallel_edges,node_count,topology_id
True,30,31,True,,False,30,GtsHungary
True,33,37,True,,False,33,GtsPoland
True,21,24,True,,False,21,GtsRomania
True,35,37,True,,False,35,GtsSlovakia
True,21,23,True,,True,21,Harnet
True,7,11,False,node_count_out_of_range,True,7,Heanet
True,13,14,False,node_count_out_of_range,False,13,HiberniaCanada
True,55,81,False,node_count_out_of_range,False,55,HiberniaGlobal
True,8,8,False,node_count_out_of_range,False,8,HiberniaIreland
True,18,21,True,,True,18,HiberniaNireland
True,15,15,True,,False,15,HiberniaUk
True,22,29,True,,False,22,HiberniaUs
True,18,31,True,,True,18,Highwinds
True,16,21,True,,False,16,HostwayInternational
True,24,37,True,,False,24,HurricaneElectric
True,18,24,True,,False,18,Ibm
True,37,65,True,,True,37,Iij
True,31,35,True,,False,31,Iinet
True,14,15,False,node_count_out_of_range,False,14,Ilan
True,27,36,True,,False,27,Integra
True,73,95,False,node_count_out_of_range,True,73,Intellifiber
True,19,33,True,,True,19,Internetmci
True,66,77,False,node_count_out_of_range,True,66,Internode
True,110,146,False,node_count_out_of_range,True,110,Interoute
True,39,51,True,,True,39,Intranetwork
True,125,146,False,node_count_out_of_range,True,125,Ion
True,33,41,True,,False,33,IowaStatewideFiberMap
True,51,64,False,node_count_out_of_range,False,51,Iris
True,23,23,True,,False,23,Istar
True,11,10,False,node_count_out_of_range,False,11,Itnet
False,12,10,False,node_count_out_of_range,False,12,JanetExternal
True,29,45,True,,False,29,Janetbackbone
True,20,34,True,,True,20,Janetlense
True,18,17,True,,False,18,Jgn2Plus
True,25,28,True,,True,25,Karen
True,754,895,False,node_count_out_of_range,True,754,Kdl
False,23,23,False,disconnected,True,23,KentmanApr2007
False,28,29,False,disconnected,False,28,KentmanAug2005
True,26,27,True,,True,26,KentmanFeb2008
True,38,38,True,,True,38,KentmanJan2011
True,16,17,True,,False,16,KentmanJul2005
True,13,12,False,node_count_out_of_range,False,13,Kreonet
True,42,46,False,node_count_out_of_range,False,42,LambdaNet
True,69,74,False,node_count_out_of_range,False,69,Latnet
True,6,7,False,node_count_out_of_range,False,6,Layer42
True,43,43,False,node_count_out_of_range,False,43,Litnet
True,20,27,True,,False,20,Marnet
True,16,17,True,,True,16,Marwan
True,67,83,False,node_count_out_of_range,False,67,Missouri
True,6,5,False,node_count_out_of_range,False,6,Mren
True,37,39,True,,True,37,Myren
True,6,7,False,node_count_out_of_range,False,6,Napnet
True,13,17,False,node_count_out_of_range,False,13,Navigata
True,7,10,False,node_count_out_of_range,False,7,Netrail
True,35,39,True,,False,35,NetworkUsa
True,17,19,True,,True,17,Nextgen
True,36,41,True,,False,36,Niif
True,19,25,True,,False,19,Noel
True,7,6,False,node_count_out_of_range,False,7,Nordu1989
True,14,13,False,node_count_out_of_range,False,14,Nordu1997
True,9,9,False,node_count_out_of_range,True,9,Nordu2005
False,18,17,False,disconnected,False,18,Nordu2010
False,10,10,False,node_count_out_of_range,False,10,Nsfcnet
True,13,15,False,node_count_out_of_range,False,13,Nsfnet
False,48,58,False,node_count_out_of_range,True,48,Ntelos
False,47,63,False,node_count_out_of_range,True,47,Ntt
False,93,103,False,node_count_out_of_range,True,93,Oteglobe
True,20,26,True,,False,20,Oxford
True,18,22,True,,True,18,Pacificwave
True,21,27,True,,False,21,Packetexchange
False,15,6,False,disconnected,False,15,Padi
True,45,64,False,node_count_out_of_range,True,45,Palmetto
True,16,20,True,,False,16,Peer1
True,127,129,False,node_count_out_of_range,False,127,Pern
True,36,41,True,,False,36,PionierL1
True,38,45,True,,True,38,PionierL3
True,24,25,True,,False,24,Psinet
True,20,31,True,,False,20,Quest
True,84,93,False,node_count_out_of_range,True,84,RedBestel
True,19,31,True,,True,19,Rediris
True,5,4,False,node_count_out_of_range,False,5,Renam
True,24,23,True,,False,24,Renater1999
True,24,27,True,,False,24,Renater2001
True,30,36,True,,False,30,Renater2004
True,33,43,True,,False,33,Renater2006
True,33,43,True,,False,33,Renater2008
True,43,56,False,node_count_out_of_range,False,43,Renater2010
True,19,21,True,,False,19,Restena
True,37,36,True,,False,37,Reuna
True,16,18,True,,False,16,Rhnet
True,31,34,True,,False,31,Rnp
True,42,46,False,node_count_out_of_range,True,42,Roedunet
True,48,52,False,node_count_out_of_range,False,48,RoedunetFibre
True,18,17,True,,False,18,Sago
True,43,45,False,node_count_out_of_range,False,43,Sanet
True,7,7,False,node_count_out_of_range,False,7,Sanren
True,19,20,True,,False,19,Savvis
True,28,35,True,,False,28,Shentel
True,74,76,False,node_count_out_of_range,False,74,Sinet
True,11,10,False,node_count_out_of_range,False,11,Singaren
True,15,16,True,,False,15,Spiralight
True,11,18,False,node_count_out_of_range,False,11,Sprint
True,26,32,True,,True,26,Sunet
True,50,68,False,node_count_out_of_range,True,50,Surfnet
True,74,92,False,node_count_out_of_range,False,74,Switch
True,42,63,False,node_count_out_of_range,False,42,SwitchL3
True,74,74,False,node_count_out_of_range,False,74,Syringa
True,12,13,False,node_count_out_of_range,True,12,TLex
True,145,186,False,node_count_out_of_range,True,145,TataNld
False,73,70,False,node_count_out_of_range,False,73,Telcove
True,6,6,False,node_count_out_of_range,False,6,Telecomserbia
True,53,89,False,node_count_out_of_range,False,53,Tinet
False,76,115,False,node_count_out_of_range,True,76,Tw
True,20,20,True,,False,20,Twaren
True,82,82,False,node_count_out_of_range,False,82,Ulaknet
True,25,27,True,,True,25,UniC
True,13,18,False,node_count_out_of_range,True,13,Uninet
True,74,101,False,node_count_out_of_range,False,74,Uninett2010
True,69,96,False,node_count_out_of_range,True,69,Uninett2011
True,24,24,True,,False,24,Uran
True,158,189,False,node_count_out_of_range,False,158,UsCarrier
False,63,78,False,node_count_out_of_range,True,63,UsSignal
True,49,84,False,node_count_out_of_range,False,49,Uunet
True,25,26,True,,False,25,Vinaren
True,24,23,True,,False,24,VisionNet
True,88,92,False,node_count_out_of_range,False,88,VtlWavenet2008
True,92,96,False,node_count_out_of_range,False,92,VtlWavenet2011
True,30,33,True,,False,30,WideJpn
True,24,34,True,,False,24,Xeex
True,34,49,True,,False,34,Xspedius
True,23,24,True,,False,23,York
False,36,34,False,disconnected,False,36,Zamren
