class_counts,image,mask,pair_id,presence_vector
"{""0"": 3604176, ""1"": 646036, ""6"": 77969, ""7"": 556168, ""9"": 7115651}",val-org-img/11086.jpg,val-label-img/11086_lab.png,11086,"[1, 6, 7, 9]"
"{""0"": 5730920, ""1"": 674803, ""2"": 208972, ""4"": 786306, ""7"": 182173, ""8"": 1113932, ""9"": 3302894}",val-org-img/11113.jpg,val-label-img/11113_lab.png,11113,"[1, 2, 4, 7, 8, 9]"
"{""0"": 5845901, ""1"": 3598220, ""6"": 169997, ""7"": 253951, ""9"": 2131931}",val-org-img/11116.jpg,val-label-img/11116_lab.png,11116,"[1, 6, 7, 9]"
"{""0"": 8576469, ""1"": 616471, ""3"": 1690722, ""7"": 1116338}",val-org-img/11122.jpg,val-label-img/11122_lab.png,11122,"[1, 3, 7]"
"{""0"": 6266477, ""1"": 1153285, ""2"": 876137, ""5"": 471118, ""7"": 1933395, ""9"": 1299588}",val-org-img/11125.jpg,val-label-img/11125_lab.png,11125,"[1, 2, 5, 7, 9]"
"{""0"": 10677432, ""5"": 620597, ""6"": 97799, ""7"": 604172}",val-org-img/11133.jpg,val-label-img/11133_lab.png,11133,"[5, 6, 7]"
"{""9"": 12000000}",val-org-img/11142.jpg,val-label-img/11142_lab.png,11142,[9]
"{""0"": 81451, ""9"": 11918549}",val-org-img/11143.jpg,val-label-img/11143_lab.png,11143,[9]
"{""0"": 21936, ""9"": 11978064}",val-org-img/11144.jpg,val-label-img/11144_lab.png,11144,[9]
"{""0"": 9187181, ""1"": 203465, ""7"": 1364518, ""9"": 1244836}",val-org-img/11150.jpg,val-label-img/11150_lab.png,11150,"[1, 7, 9]"
"{""0"": 4079616, ""1"": 3196551, ""2"": 136012, ""3"": 1559471, ""7"": 1254528, ""9"": 1773822}",val-org-img/11160.jpg,val-label-img/11160_lab.png,11160,"[1, 2, 3, 7, 9]"
"{""0"": 5068486, ""1"": 3387995, ""2"": 746066, ""3"": 1275239, ""6"": 296690, ""7"": 1225524}",val-org-img/11177.jpg,val-label-img/11177_lab.png,11177,"[1, 2, 3, 6, 7]"
"{""0"": 5801605, ""6"": 30656, ""8"": 731957, ""9"": 5435782}",val-org-img/11184.jpg,val-label-img/11184_lab.png,11184,"[6, 8, 9]"
"{""0"": 5861809, ""7"": 882449, ""9"": 5255742}",val-org-img/11186.jpg,val-label-img/11186_lab.png,11186,"[7, 9]"
"{""0"": 6144326, ""1"": 773960, ""7"": 1607050, ""9"": 3474664}",val-org-img/11191.jpg,val-label-img/11191_lab.png,11191,"[1, 7, 9]"
"{""0"": 8108310, ""1"": 3118490, ""5"": 773200}",val-org-img/11207.jpg,val-label-img/11207_lab.png,11207,"[1, 5]"
"{""0"": 7444401, ""2"": 359574, ""4"": 579028, ""6"": 33317, ""8"": 947694, ""9"": 2635986}",val-org-img/11211.jpg,val-label-img/11211_lab.png,11211,"[2, 4, 6, 8, 9]"
"{""0"": 8467868, ""2"": 33140, ""3"": 1341468, ""6"": 119596, ""7"": 1949051, ""9"": 88877}",val-org-img/11230.jpg,val-label-img/11230_lab.png,11230,"[2, 3, 6, 7, 9]"
"{""0"": 7631702, ""2"": 1036317, ""3"": 686763, ""4"": 405533, ""5"": 299993, ""6"": 153342, ""7"": 1786350}",val-org-img/11231.jpg,val-label-img/11231_lab.png,11231,"[2, 3, 4, 5, 6, 7]"
"{""0"": 3103, ""9"": 11996897}",val-org-img/11251.jpg,val-label-img/11251_lab.png,11251,[9]
"{""0"": 2370248, ""7"": 876838, ""9"": 8752914}",val-org-img/11259.jpg,val-label-img/11259_lab.png,11259,"[7, 9]"
"{""0"": 4323797, ""1"": 7328013, ""3"": 348190}",val-org-img/11266.jpg,val-label-img/11266_lab.png,11266,"[1, 3]"
"{""0"": 4092740, ""1"": 6957796, ""2"": 233587, ""3"": 529880, ""4"": 185997}",val-org-img/11275.jpg,val-label-img/11275_lab.png,11275,"[1, 2, 3, 4]"
"{""0"": 6604526, ""1"": 3487739, ""2"": 853657, ""8"": 1054078}",val-org-img/11283.jpg,val-label-img/11283_lab.png,11283,"[1, 2, 8]"
"{""0"": 3271374, ""1"": 7065978, ""3"": 1005184, ""4"": 115724, ""8"": 541740}",val-org-img/11288.jpg,val-label-img/11288_lab.png,11288,"[1, 3, 4, 8]"
"{""0"": 4288090, ""1"": 6798023, ""2"": 632153, ""7"": 281734}",val-org-img/11304.jpg,val-label-img/11304_lab.png,11304,"[1, 2, 7]"
"{""0"": 2490857, ""1"": 4130603, ""7"": 1231524, ""9"": 4147016}",val-org-img/11307.jpg,val-label-img/11307_lab.png,11307,"[1, 7, 9]"
"{""9"": 12000000}",val-org-img/11313.jpg,val-label-img/11313_lab.png,11313,[9]
"{""0"": 2064168, ""1"": 9292214, ""2"": 286320, ""8"": 357298}",val-org-img/11336.jpg,val-label-img/11336_lab.png,11336,"[1, 2, 8]"
"{""0"": 2081127, ""1"": 8976602, ""2"": 191136, ""3"": 580999, ""4"": 88595, ""8"": 81541}",val-org-img/11337.jpg,val-label-img/11337_lab.png,11337,"[1, 2, 3, 4, 8]"
"{""0"": 2196949, ""1"": 8713632, ""3"": 694221, ""8"": 395198}",val-org-img/11345.jpg,val-label-img/11345_lab.png,11345,"[1, 3, 8]"
"{""0"": 3870249, ""1"": 7019062, ""3"": 762038, ""8"": 348651}",val-org-img/11346.jpg,val-label-img/11346_lab.png,11346,"[1, 3, 8]"
"{""0"": 3340081, ""1"": 1480185, ""4"": 3181175, ""6"": 39899, ""7"": 3958660}",val-org-img/11359.jpg,val-label-img/11359_lab.png,11359,"[1, 4, 6, 7]"
"{""0"": 6610222, ""1"": 3836834, ""2"": 519215, ""7"": 1033729}",val-org-img/11372.jpg,val-label-img/11372_lab.png,11372,"[1, 2, 7]"
"{""0"": 6117655, ""1"": 2506997, ""7"": 3375348}",val-org-img/11384.jpg,val-label-img/11384_lab.png,11384,"[1, 7]"
"{""0"": 6032149, ""3"": 199627, ""4"": 436293, ""6"": 110234, ""7"": 2747913, ""8"": 2473784}",val-org-img/11391.jpg,val-label-img/11391_lab.png,11391,"[3, 4, 6, 7, 8]"
"{""0"": 6697135, ""6"": 178766, ""7"": 3842341, ""8"": 1281758}",val-org-img/11392.jpg,val-label-img/11392_lab.png,11392,"[6, 7, 8]"
"{""0"": 5661626, ""1"": 893545, ""3"": 1851155, ""4"": 685544, ""7"": 1123643, ""8"": 1784487}",val-org-img/11403.jpg,val-label-img/11403_lab.png,11403,"[1, 3, 4, 7, 8]"
"{""0"": 7540392, ""2"": 511210, ""3"": 1591157, ""6"": 179834, ""7"": 2177407}",val-org-img/11420.jpg,val-label-img/11420_lab.png,11420,"[2, 3, 6, 7]"
"{""0"": 6178183, ""2"": 1983753, ""3"": 422992, ""6"": 191790, ""7"": 3223282}",val-org-img/11421.jpg,val-label-img/11421_lab.png,11421,"[2, 3, 6, 7]"
"{""0"": 5591401, ""1"": 3449651, ""7"": 2958948}",val-org-img/11437.jpg,val-label-img/11437_lab.png,11437,"[1, 7]"
"{""0"": 5819302, ""1"": 2756955, ""2"": 583267, ""3"": 1439407, ""4"": 214857, ""6"": 41914, ""7"": 368167, ""8"": 726615, ""10"": 49516}",val-org-img/11451.jpg,val-label-img/11451_lab.png,11451,"[1, 2, 3, 4, 6, 7, 8, 10]"
"{""0"": 6161299, ""1"": 2899443, ""2"": 533884, ""3"": 688350, ""4"": 49001, ""6"": 82038, ""8"": 1543282, ""10"": 42703}",val-org-img/11452.jpg,val-label-img/11452_lab.png,11452,"[1, 2, 3, 4, 6, 8, 10]"
"{""9"": 12000000}",val-org-img/11458.jpg,val-label-img/11458_lab.png,11458,[9]
"{""9"": 12000000}",val-org-img/11462.jpg,val-label-img/11462_lab.png,11462,[9]
"{""0"": 4801544, ""1"": 4589833, ""3"": 1384119, ""8"": 1224504}",val-org-img/11481.jpg,val-label-img/11481_lab.png,11481,"[1, 3, 8]"
"{""0"": 4626697, ""1"": 2642054, ""4"": 3712192, ""6"": 82234, ""8"": 936823}",val-org-img/11482.jpg,val-label-img/11482_lab.png,11482,"[1, 4, 6, 8]"
"{""0"": 7997673, ""3"": 376873, ""5"": 605901, ""6"": 467857, ""7"": 2551696}",val-org-img/11491.jpg,val-label-img/11491_lab.png,11491,"[3, 5, 6, 7]"
"{""0"": 10030108, ""2"": 1372880, ""5"": 597012}",val-org-img/11511.jpg,val-label-img/11511_lab.png,11511,"[2, 5]"
"{""0"": 10817862, ""5"": 1182138}",val-org-img/11521.jpg,val-label-img/11521_lab.png,11521,[5]
"{""0"": 7123065, ""2"": 384669, ""6"": 118351, ""7"": 4293209, ""9"": 80706}",val-org-img/11553.jpg,val-label-img/11553_lab.png,11553,"[2, 6, 7, 9]"
"{""0"": 4225605, ""2"": 4330107, ""4"": 124828, ""6"": 49029, ""7"": 2725605, ""9"": 499218, ""10"": 45608}",val-org-img/11556.jpg,val-label-img/11556_lab.png,11556,"[2, 4, 6, 7, 9, 10]"
"{""0"": 7305048, ""1"": 4694952}",val-org-img/11610.jpg,val-label-img/11610_lab.png,11610,[1]
"{""0"": 11438881, ""4"": 561119}",val-org-img/11618.jpg,val-label-img/11618_lab.png,11618,[4]
"{""0"": 8856445, ""6"": 196953, ""7"": 2946602}",val-org-img/11631.jpg,val-label-img/11631_lab.png,11631,"[6, 7]"
"{""0"": 6484690, ""1"": 2516199, ""2"": 807787, ""3"": 1031812, ""4"": 388963, ""8"": 770549}",val-org-img/11639.jpg,val-label-img/11639_lab.png,11639,"[1, 2, 3, 4, 8]"
"{""9"": 12000000}",val-org-img/11650.jpg,val-label-img/11650_lab.png,11650,[9]
"{""9"": 12000000}",val-org-img/11654.jpg,val-label-img/11654_lab.png,11654,[9]
"{""9"": 12000000}",val-org-img/11655.jpg,val-label-img/11655_lab.png,11655,[9]
"{""0"": 8661290, ""3"": 701393, ""5"": 1576838, ""7"": 1008095, ""10"": 52384}",val-org-img/11680.jpg,val-label-img/11680_lab.png,11680,"[3, 5, 7, 10]"
"{""0"": 12000000}",val-org-img/11687.jpg,val-label-img/11687_lab.png,11687,[]
"{""0"": 6978264, ""1"": 5021736}",val-org-img/11690.jpg,val-label-img/11690_lab.png,11690,[1]
"{""0"": 12000000}",val-org-img/11696.jpg,val-label-img/11696_lab.png,11696,[]
"{""0"": 6649776, ""2"": 456937, ""3"": 193889, ""5"": 1979469, ""6"": 262657, ""7"": 1482768, ""8"": 411639, ""9"": 562865}",val-org-img/11702.jpg,val-label-img/11702_lab.png,11702,"[2, 3, 5, 6, 7, 8, 9]"
"{""0"": 7854909, ""3"": 657677, ""5"": 1876433, ""6"": 276603, ""7"": 1282285, ""10"": 52093}",val-org-img/11703.jpg,val-label-img/11703_lab.png,11703,"[3, 5, 6, 7, 10]"
"{""0"": 7666337, ""3"": 1117838, ""5"": 114570, ""6"": 24244, ""7"": 3077011}",val-org-img/11712.jpg,val-label-img/11712_lab.png,11712,"[3, 5, 6, 7]"
"{""0"": 8323823, ""2"": 1177706, ""3"": 869024, ""4"": 542815, ""6"": 24244, ""7"": 1062388}",val-org-img/11714.jpg,val-label-img/11714_lab.png,11714,"[2, 3, 4, 6, 7]"
"{""0"": 4018610, ""1"": 3780449, ""2"": 250853, ""3"": 544677, ""4"": 727980, ""6"": 57940, ""8"": 201317, ""9"": 2418174}",val-org-img/11725.jpg,val-label-img/11725_lab.png,11725,"[1, 2, 3, 4, 6, 8, 9]"
"{""0"": 3912351, ""1"": 2281641, ""9"": 5806008}",val-org-img/11768.jpg,val-label-img/11768_lab.png,11768,"[1, 9]"
"{""0"": 2600255, ""1"": 369186, ""9"": 9030559}",val-org-img/11769.jpg,val-label-img/11769_lab.png,11769,"[1, 9]"
"{""0"": 10868606, ""1"": 1131394}",val-org-img/11818.jpg,val-label-img/11818_lab.png,11818,[1]
"{""0"": 7891620, ""2"": 1942883, ""5"": 781199, ""6"": 54952, ""8"": 1329346}",val-org-img/11823.jpg,val-label-img/11823_lab.png,11823,"[2, 5, 6, 8]"
"{""0"": 10189843, ""5"": 737134, ""6"": 256933, ""7"": 816090}",val-org-img/11826.jpg,val-label-img/11826_lab.png,11826,"[5, 6, 7]"
"{""0"": 7937630, ""4"": 3024184, ""7"": 1038186}",val-org-img/11836.jpg,val-label-img/11836_lab.png,11836,"[4, 7]"
"{""0"": 9171860, ""2"": 91620, ""3"": 251970, ""5"": 297924, ""6"": 86258, ""7"": 2100368}",val-org-img/11842.jpg,val-label-img/11842_lab.png,11842,"[2, 3, 5, 6, 7]"
"{""4"": 500689, ""9"": 11499311}",val-org-img/11859.jpg,val-label-img/11859_lab.png,11859,"[4, 9]"
"{""0"": 7531174, ""2"": 216327, ""3"": 664084, ""4"": 704218, ""5"": 325137, ""6"": 111324, ""7"": 2447736}",val-org-img/11868.jpg,val-label-img/11868_lab.png,11868,"[2, 3, 4, 5, 6, 7]"
"{""0"": 7595842, ""4"": 1325552, ""5"": 389076, ""7"": 2689530}",val-org-img/11876.jpg,val-label-img/11876_lab.png,11876,"[4, 5, 7]"
"{""0"": 11200722, ""2"": 743437, ""6"": 55841}",val-org-img/11890.jpg,val-label-img/11890_lab.png,11890,"[2, 6]"
"{""0"": 8419648, ""4"": 1124542, ""5"": 1248735, ""6"": 225447, ""7"": 616414, ""9"": 365214}",val-org-img/11905.jpg,val-label-img/11905_lab.png,11905,"[4, 5, 6, 7, 9]"
"{""9"": 12000000}",val-org-img/11932.jpg,val-label-img/11932_lab.png,11932,[9]
"{""9"": 12000000}",val-org-img/11936.jpg,val-label-img/11936_lab.png,11936,[9]
"{""0"": 8440767, ""1"": 156452, ""2"": 230562, ""4"": 704816, ""5"": 1147225, ""7"": 1320178}",val-org-img/11999.jpg,val-label-img/11999_lab.png,11999,"[1, 2, 4, 5, 7]"
"{""0"": 7223643, ""2"": 158725, ""3"": 90664, ""4"": 1020448, ""5"": 709358, ""7"": 2797162}",val-org-img/12003.jpg,val-label-img/12003_lab.png,12003,"[2, 3, 4, 5, 7]"
"{""0"": 2203973, ""1"": 2686274, ""9"": 7109753}",val-org-img/12016.jpg,val-label-img/12016_lab.png,12016,"[1, 9]"
"{""0"": 2480517, ""1"": 3283301, ""2"": 108527, ""9"": 6127655}",val-org-img/12017.jpg,val-label-img/12017_lab.png,12017,"[1, 2, 9]"
"{""0"": 3863809, ""2"": 1710967, ""6"": 26642, ""7"": 1765270, ""9"": 4633312}",val-org-img/12024.jpg,val-label-img/12024_lab.png,12024,"[2, 6, 7, 9]"
"{""0"": 4588110, ""3"": 140250, ""4"": 2556361, ""9"": 4601190, ""10"": 114089}",val-org-img/12034.jpg,val-label-img/12034_lab.png,12034,"[3, 4, 9, 10]"
"{""0"": 5722842, ""2"": 1366953, ""6"": 122133, ""7"": 612938, ""9"": 4038248, ""10"": 136886}",val-org-img/12036.jpg,val-label-img/12036_lab.png,12036,"[2, 6, 7, 9, 10]"
"{""0"": 611727, ""2"": 548283, ""3"": 577257, ""7"": 637018, ""9"": 9625715}",val-org-img/12045.jpg,val-label-img/12045_lab.png,12045,"[2, 3, 7, 9]"
"{""0"": 2832462, ""2"": 275848, ""4"": 565890, ""7"": 780578, ""9"": 7545222}",val-org-img/12047.jpg,val-label-img/12047_lab.png,12047,"[2, 4, 7, 9]"
"{""0"": 10290358, ""2"": 561032, ""6"": 152051, ""7"": 996559}",val-org-img/12069.jpg,val-label-img/12069_lab.png,12069,"[2, 6, 7]"
"{""0"": 7480078, ""2"": 45462, ""4"": 730367, ""6"": 98428, ""7"": 3645665}",val-org-img/12077.jpg,val-label-img/12077_lab.png,12077,"[2, 4, 6, 7]"
"{""0"": 5295824, ""3"": 1029461, ""4"": 1468428, ""6"": 150597, ""7"": 4055690}",val-org-img/12078.jpg,val-label-img/12078_lab.png,12078,"[3, 4, 6, 7]"
"{""0"": 3383633, ""1"": 1877751, ""2"": 692072, ""3"": 3422711, ""7"": 2623833}",val-org-img/12081.jpg,val-label-img/12081_lab.png,12081,"[1, 2, 3, 7]"
"{""0"": 8469248, ""1"": 1296055, ""2"": 916800, ""3"": 195890, ""7"": 1122007}",val-org-img/12087.jpg,val-label-img/12087_lab.png,12087,"[1, 2, 3, 7]"
"{""0"": 944802, ""1"": 1773868, ""9"": 9281330}",val-org-img/12091.jpg,val-label-img/12091_lab.png,12091,"[1, 9]"
"{""0"": 1713097, ""1"": 2167093, ""9"": 8119810}",val-org-img/12093.jpg,val-label-img/12093_lab.png,12093,"[1, 9]"
"{""0"": 10951112, ""7"": 1048888}",val-org-img/12107.jpg,val-label-img/12107_lab.png,12107,[7]
"{""0"": 12000000}",val-org-img/12119.jpg,val-label-img/12119_lab.png,12119,[]
"{""0"": 9913323, ""1"": 1591501, ""3"": 325038, ""5"": 170138}",val-org-img/12126.jpg,val-label-img/12126_lab.png,12126,"[1, 3, 5]"
"{""0"": 9515921, ""6"": 223668, ""7"": 2260411}",val-org-img/12133.jpg,val-label-img/12133_lab.png,12133,"[6, 7]"
"{""0"": 9024332, ""6"": 225478, ""7"": 2750190}",val-org-img/12134.jpg,val-label-img/12134_lab.png,12134,"[6, 7]"
"{""0"": 65415, ""1"": 307778, ""9"": 11626807}",val-org-img/12148.jpg,val-label-img/12148_lab.png,12148,"[1, 9]"
"{""0"": 9195275, ""1"": 1324835, ""5"": 309420, ""8"": 1170470}",val-org-img/12168.jpg,val-label-img/12168_lab.png,12168,"[1, 5, 8]"
"{""0"": 8756562, ""1"": 1630341, ""5"": 1613097}",val-org-img/12182.jpg,val-label-img/12182_lab.png,12182,"[1, 5]"
"{""0"": 6017574, ""1"": 1838378, ""2"": 2720614, ""6"": 233008, ""7"": 1190426}",val-org-img/12214.jpg,val-label-img/12214_lab.png,12214,"[1, 2, 6, 7]"
"{""0"": 8602495, ""2"": 1959703, ""3"": 421680, ""5"": 969854, ""6"": 46268}",val-org-img/12221.jpg,val-label-img/12221_lab.png,12221,"[2, 3, 5, 6]"
"{""0"": 8526874, ""1"": 393768, ""2"": 428808, ""5"": 1483158, ""8"": 1110839, ""10"": 56553}",val-org-img/12224.jpg,val-label-img/12224_lab.png,12224,"[1, 2, 5, 8, 10]"
"{""0"": 12000000}",val-org-img/12234.jpg,val-label-img/12234_lab.png,12234,[]
"{""0"": 12000000}",val-org-img/12236.jpg,val-label-img/12236_lab.png,12236,[]
"{""0"": 10399954, ""1"": 72070, ""3"": 584318, ""5"": 943658}",val-org-img/12238.jpg,val-label-img/12238_lab.png,12238,"[1, 3, 5]"
"{""0"": 12022, ""2"": 43616, ""9"": 11944362}",val-org-img/12259.jpg,val-label-img/12259_lab.png,12259,"[2, 9]"
"{""0"": 7121782, ""2"": 375049, ""4"": 238590, ""5"": 89347, ""9"": 4175232}",val-org-img/12266.jpg,val-label-img/12266_lab.png,12266,"[2, 4, 5, 9]"
"{""0"": 6352586, ""2"": 785719, ""3"": 123366, ""4"": 1126070, ""5"": 651007, ""6"": 25244, ""8"": 2936008}",val-org-img/12276.jpg,val-label-img/12276_lab.png,12276,"[2, 3, 4, 5, 6, 8]"
"{""0"": 9556213, ""5"": 1328854, ""8"": 1114933}",val-org-img/12298.jpg,val-label-img/12298_lab.png,12298,"[5, 8]"
"{""3"": 197086, ""9"": 11802914}",val-org-img/12320.jpg,val-label-img/12320_lab.png,12320,"[3, 9]"
"{""0"": 6685056, ""3"": 910382, ""4"": 205091, ""5"": 210437, ""8"": 3989034}",val-org-img/12324.jpg,val-label-img/12324_lab.png,12324,"[3, 4, 5, 8]"
"{""0"": 4886838, ""4"": 1914137, ""5"": 572815, ""6"": 47838, ""8"": 4578372}",val-org-img/12327.jpg,val-label-img/12327_lab.png,12327,"[4, 5, 6, 8]"
"{""0"": 11309225, ""3"": 690775}",val-org-img/12339.jpg,val-label-img/12339_lab.png,12339,[3]
"{""0"": 6672722, ""3"": 1240076, ""4"": 229151, ""7"": 934214, ""8"": 2923837}",val-org-img/12365.jpg,val-label-img/12365_lab.png,12365,"[3, 4, 7, 8]"
"{""0"": 7713603, ""3"": 1574421, ""5"": 786195, ""8"": 1925781}",val-org-img/12389.jpg,val-label-img/12389_lab.png,12389,"[3, 5, 8]"
"{""0"": 4697071, ""3"": 2863781, ""4"": 411524, ""6"": 303734, ""7"": 3723890}",val-org-img/12437.jpg,val-label-img/12437_lab.png,12437,"[3, 4, 6, 7]"
"{""0"": 7958410, ""3"": 1349668, ""7"": 1511355, ""8"": 1180567}",val-org-img/12440.jpg,val-label-img/12440_lab.png,12440,"[3, 7, 8]"
"{""0"": 5280928, ""2"": 704084, ""3"": 1351401, ""4"": 989551, ""6"": 31813, ""7"": 1421241, ""9"": 2220982}",val-org-img/12469.jpg,val-label-img/12469_lab.png,12469,"[2, 3, 4, 6, 7, 9]"
"{""0"": 5, ""9"": 11999995}",val-org-img/12479.jpg,val-label-img/12479_lab.png,12479,[9]
"{""9"": 12000000}",val-org-img/12482.jpg,val-label-img/12482_lab.png,12482,[9]
"{""0"": 4190431, ""2"": 36917, ""6"": 57667, ""7"": 525217, ""9"": 7189768}",val-org-img/12485.jpg,val-label-img/12485_lab.png,12485,"[2, 6, 7, 9]"
"{""0"": 8893039, ""3"": 384606, ""6"": 304259, ""7"": 2418096}",val-org-img/12493.jpg,val-label-img/12493_lab.png,12493,"[3, 6, 7]"
"{""0"": 10284561, ""4"": 1153443, ""5"": 298147, ""7"": 263849}",val-org-img/12501.jpg,val-label-img/12501_lab.png,12501,"[4, 5, 7]"
"{""0"": 3748105, ""2"": 900080, ""7"": 1238065, ""9"": 6113750}",val-org-img/12512.jpg,val-label-img/12512_lab.png,12512,"[2, 7, 9]"
"{""0"": 1901932, ""1"": 144313, ""2"": 512439, ""6"": 22667, ""7"": 857001, ""9"": 8561648}",val-org-img/12514.jpg,val-label-img/12514_lab.png,12514,"[1, 2, 6, 7, 9]"
"{""0"": 8252445, ""4"": 679702, ""5"": 2034495, ""7"": 774611, ""9"": 258747}",val-org-img/12538.jpg,val-label-img/12538_lab.png,12538,"[4, 5, 7, 9]"
"{""0"": 7882464, ""2"": 190978, ""3"": 608529, ""4"": 516533, ""6"": 332939, ""7"": 2468557}",val-org-img/12544.jpg,val-label-img/12544_lab.png,12544,"[2, 3, 4, 6, 7]"
"{""0"": 8775131, ""2"": 1091923, ""3"": 246463, ""4"": 294480, ""6"": 44619, ""7"": 1547384}",val-org-img/12548.jpg,val-label-img/12548_lab.png,12548,"[2, 3, 4, 6, 7]"
"{""0"": 10315090, ""2"": 457877, ""3"": 263049, ""7"": 963984}",val-org-img/12549.jpg,val-label-img/12549_lab.png,12549,"[2, 3, 7]"
"{""0"": 10688790, ""1"": 1311210}",val-org-img/12558.jpg,val-label-img/12558_lab.png,12558,[1]
"{""0"": 9648790, ""1"": 2351210}",val-org-img/12559.jpg,val-label-img/12559_lab.png,12559,[1]
"{""0"": 7819248, ""3"": 353830, ""4"": 1313304, ""5"": 229636, ""6"": 37552, ""7"": 2246430}",val-org-img/12571.jpg,val-label-img/12571_lab.png,12571,"[3, 4, 5, 6, 7]"
"{""0"": 9198407, ""5"": 1805765, ""8"": 995828}",val-org-img/12575.jpg,val-label-img/12575_lab.png,12575,"[5, 8]"
"{""0"": 8690933, ""1"": 3309067}",val-org-img/12582.jpg,val-label-img/12582_lab.png,12582,[1]
